,timestamps,symbol1,symbol2,pnl,ai_position,vr_position,ratio,beta
0,2025-02-17 00:01:00,0.3948,1.2517,0.0,0,0,-0.07184101337856563,0.7728752372796557
1,2025-02-17 00:02:00,0.3985,1.2573,0.0,0,0,-0.07458453615755212,0.772871486744662
2,2025-02-17 00:03:00,0.3982,1.2582,0.0,0,0,-0.07328493440147843,0.7728673877156721
3,2025-02-17 00:04:00,0.3978,1.2556,0.0,0,0,-0.07457470939777866,0.7728635074075653
4,2025-02-17 00:05:00,0.3978,1.2542,0.0,0,0,-0.07568828542640715,0.7728591697268726
5,2025-02-17 00:06:00,0.398,1.2556,0.0,0,0,-0.07495912186785114,0.7728547339350326
6,2025-02-17 00:07:00,0.3989,1.2579,0.0,0,0,-0.07487264817812644,0.7728505936906623
7,2025-02-17 00:08:00,0.3993,1.2591,0.0,0,0,-0.07469167655153153,0.7728464551637612
8,2025-02-17 00:09:00,0.3985,1.259,0.0,0,0,-0.07321919365874008,0.7728419800242896
9,2025-02-17 00:10:00,0.3975,1.2556,0.0,0,0,-0.0739796115445841,0.7728375096488329
10,2025-02-17 00:11:00,0.3977,1.2561,0.0,0,0,-0.0739682444001426,0.7728331138000056
11,2025-02-17 00:12:00,0.3965,1.2545,0.0,0,0,-0.07290545454004516,0.7728288121700712
12,2025-02-17 00:13:00,0.3961,1.2517,0.0,0,0,-0.07435786410590506,0.772824531206895
13,2025-02-17 00:14:00,0.3952,1.2503,0.0,0,0,-0.07371698656521553,0.772820490748052
14,2025-02-17 00:15:00,0.3961,1.251,0.0,0,0,-0.07491317034060141,0.7728166143951263
15,2025-02-17 00:16:00,0.3955,1.2515,0.0,0,0,-0.07334004100144176,0.7728126844730593
16,2025-02-17 00:17:00,0.3952,1.2518,0.0,0,0,-0.07251197293780076,0.7728086398808285
17,2025-02-17 00:18:00,0.3939,1.2485,0.0,0,0,-0.07260341635023215,0.7728042360605952
18,2025-02-17 00:19:00,0.3949,1.2491,0.0,0,0,-0.07408038597425026,0.7728001384159411
19,2025-02-17 00:20:00,0.3982,1.2557,0.0,0,0,-0.07523952841390402,0.7727959799846474
20,2025-02-17 00:21:00,0.3974,1.256,0.0,0,0,-0.07344450903580546,0.7727918205059804
21,2025-02-17 00:22:00,0.397,1.257,0.0,0,0,-0.07186845439833889,0.7727877346203126
22,2025-02-17 00:23:00,0.3962,1.256,0.0,0,0,-0.0711035576581589,0.7727837552335732
23,2025-02-17 00:24:00,0.3961,1.2551,0.0,0,0,-0.07162335890650373,0.7727797356015067
24,2025-02-17 00:25:00,0.3969,1.2553,0.0,0,0,-0.07302122023968938,0.772775804710735
25,2025-02-17 00:26:00,0.3956,1.252,0.0,0,0,-0.07311628170199325,0.7727714825079423
26,2025-02-17 00:27:00,0.396,1.2532,0.0,0,0,-0.07293728707470393,0.7727672245514697
27,2025-02-17 00:28:00,0.3968,1.2537,0.0,0,0,-0.07409594717485168,0.7727630457958442
28,2025-02-17 00:29:00,0.3963,1.2537,0.0,0,0,-0.07311964527934955,0.7727585683033744
29,2025-02-17 00:30:00,0.3955,1.2512,0.0,0,0,-0.07355226705891893,0.7727539835007202
30,2025-02-17 00:31:00,0.3956,1.2509,0.0,0,0,-0.0739854910581964,0.7727492351548242
31,2025-02-17 00:32:00,0.3955,1.2521,0.0,0,0,-0.07282937793126665,0.7727445860854771
32,2025-02-17 00:33:00,0.3971,1.2556,0.0,0,0,-0.0731559188909805,0.7727396925849537
33,2025-02-17 00:34:00,0.396,1.254,0.0,0,0,-0.07228565071258042,0.772734634989418
34,2025-02-17 00:35:00,0.3953,1.251,0.0,0,0,-0.07331181862179714,0.7727296454842777
35,2025-02-17 00:36:00,0.3961,1.2532,0.0,0,0,-0.07311512646166729,0.772724774419804
36,2025-02-17 00:37:00,0.3976,1.2576,0.0,0,0,-0.07252907251918561,0.7727201690255471
37,2025-02-17 00:38:00,0.3972,1.2571,0.0,0,0,-0.07214698424464794,0.7727163320247441
38,2025-02-17 00:39:00,0.3967,1.2549,0.0,0,0,-0.07292332449558336,0.7727119064929162
39,2025-02-17 00:40:00,0.3965,1.2536,0.0,0,0,-0.07356815650164739,0.7727076198618855
40,2025-02-17 00:41:00,0.3971,1.2545,0.0,0,0,-0.07401691419709822,0.7727031158038774
41,2025-02-17 00:42:00,0.3975,1.2549,0.0,0,0,-0.07447404878979214,0.7726988991959127
42,2025-02-17 00:43:00,0.3973,1.2544,0.0,0,0,-0.07448167007250284,0.7726946714232875
43,2025-02-17 00:44:00,0.3974,1.2539,0.0,0,0,-0.0750727784091646,0.7726903661265518
44,2025-02-17 00:45:00,0.3983,1.2534,0.0,0,0,-0.07721743327122921,0.7726863055123425
45,2025-02-17 00:46:00,0.3973,1.2506,0.0,0,0,-0.07750934538083287,0.7726820042269201
46,2025-02-17 00:47:00,0.3959,1.2505,0.0,0,0,-0.07485974024270481,0.7726775843857049
47,2025-02-17 00:48:00,0.3953,1.2482,0.0,0,0,-0.07552677371525274,0.7726732001299855
48,2025-02-17 00:49:00,0.3952,1.2482,0.0,0,0,-0.07532924609186475,0.772669032677026
