,timestamps,symbol1,symbol2,pnl,ai_position,vr_position,ratio,Kalman_beta
0,2025-02-18 00:01:00,0.3584,1.1533,0.0,0,0,-0.005073783608927629,0.5666517682478767
1,2025-02-18 00:02:00,0.3576,1.152,0.0,0,0,-0.004925215048864784,0.5666593321423558
2,2025-02-18 00:03:00,0.3558,1.1492,0.0,0,0,-0.004489896812737371,0.5666666004929349
3,2025-02-18 00:04:00,0.3564,1.1496,0.0,0,0,-0.00508615070648355,0.566674684592065
4,2025-02-18 00:05:00,0.357,1.1506,0.0,0,0,-0.005159207030974389,0.5666827337714715
5,2025-02-18 00:06:00,0.3598,1.1549,0.0,0,0,-0.005844297055769498,0.5666910835186726
6,2025-02-18 00:07:00,0.3591,1.1553,0.0,0,0,-0.004385447068393722,0.5666974876548964
7,2025-02-18 00:08:00,0.3602,1.1576,0.0,0,0,-0.004121466120067918,0.5667032922011328
8,2025-02-18 00:09:00,0.3607,1.1554,0.0,0,0,-0.006796043665648899,0.5667127007243886
9,2025-02-18 00:10:00,0.3597,1.1533,0.0,0,0,-0.007027575685117693,0.5667227497789818
10,2025-02-18 00:11:00,0.3588,1.152,0.0,0,0,-0.00672187662523438,0.5667326367329453
11,2025-02-18 00:12:00,0.3585,1.1498,0.0,0,0,-0.008142670314825295,0.5667447192868204
12,2025-02-18 00:13:00,0.3574,1.1483,0.0,0,0,-0.007690614782182137,0.5667565176506281
13,2025-02-18 00:14:00,0.3577,1.1488,0.0,0,0,-0.007714944275708846,0.5667682369228049
14,2025-02-18 00:15:00,0.3572,1.1494,0.0,0,0,-0.00638683601291945,0.5667780809621116
15,2025-02-18 00:16:00,0.3568,1.1462,0.0,0,0,-0.008522137275309927,0.5667913659139528
16,2025-02-18 00:17:00,0.357,1.1464,0.0,0,0,-0.00864744231781911,0.5668047554323957
17,2025-02-18 00:18:00,0.3565,1.1451,0.0,0,0,-0.00896912835967778,0.5668188425631758
18,2025-02-18 00:19:00,0.356,1.1449,0.0,0,0,-0.008331007397583412,0.5668321126253321
19,2025-02-18 00:20:00,0.3565,1.1444,0.0,0,0,-0.009543649717778213,0.5668470791723935
20,2025-02-18 00:21:00,0.357,1.1444,0.0,0,0,-0.010316831498266343,0.5668630050346222
21,2025-02-18 00:22:00,0.3562,1.1431,0.0,0,0,-0.010160710886922275,0.5668790586407952
22,2025-02-18 00:23:00,0.3551,1.1396,0.0,0,0,-0.011450133146400088,0.5668977262844478
23,2025-02-18 00:24:00,0.3548,1.1382,0.0,0,0,-0.012174908690536612,0.5669177311610795
24,2025-02-18 00:25:00,0.3553,1.1398,0.0,0,0,-0.011544553203691854,0.56693641374173
25,2025-02-18 00:26:00,0.3554,1.1396,0.0,0,0,-0.011854971446395246,0.5669555278229373
26,2025-02-18 00:27:00,0.3539,1.1384,0.0,0,0,-0.010488655102986244,0.5669731652165805
27,2025-02-18 00:28:00,0.3537,1.1375,0.0,0,0,-0.010936174632216522,0.5669916425777315
28,2025-02-18 00:29:00,0.3534,1.138,0.0,0,0,-0.009994668571946197,0.5670086561132984
29,2025-02-18 00:30:00,0.3542,1.1412,0.0,0,0,-0.008451133406538802,0.5670227111303059
30,2025-02-18 00:31:00,0.3544,1.1395,0.0,0,0,-0.010240641512970217,0.5670396317093939
31,2025-02-18 00:32:00,0.3551,1.1426,0.0,0,0,-0.008624820261243893,0.5670535870649789
32,2025-02-18 00:33:00,0.3544,1.1411,0.0,0,0,-0.00880121590464844,0.5670681059899386
33,2025-02-18 00:34:00,0.3545,1.1421,0.0,0,0,-0.008068433544415665,0.5670813672037948
34,2025-02-18 00:35:00,0.3548,1.1433,0.0,0,0,-0.007482424117401187,0.5670935497327233
35,2025-02-18 00:36:00,0.354,1.1404,0.0,0,0,-0.008723835438650962,0.5671080702470178
