,timestamp,exit_timestamp,position_ai,position_vr,current_ai,current_vr,entry_ai,entry_vr,amount_ai,amount_vr,pnl_ai,pnl_vr,pnl_per_trade,pnl_all,,,,beta_current,ai_amount_current,vr_amount_current,beta_entry,ai_amount_entry,vr_amount_entry,,,
trades1,21/2/2025 8:11,27/2/2025 18:00,1,-1,0.3507,1.0973,0.3604,1.2267,285.1439977,68.34214838432617,-2.765896778,8.843474001,6.077577223,6.077577223,,6.077577223058981,,,,,0.7985680923232295,277.4694784,65.09889071,-2.69145394,8.423796458,5.732342518
trades2,28/2/2025 8:59,2/3/2025 15:38,-1,1,0.3689,1.1088,0.3487,0.9881,271.07617240444563,56.08615979,-5.475738683,6.769599487,1.293860804,7.371438027,,7.371438027,,,,,0.741162265,286.7794666,75.0088316,-5.792945225,9.053565974,3.260620749
trades3,3/3/2025 19:17,8/3/2025 19:36,-1,1,0.2275,0.7119,0.345,0.9626,439.56043956043953,100.35282901804744,51.64835165,-25.15845423,26.48989741,33.86133544,,33.86133544062394,,0.7144117897794797,439.5604396,100.352829,0.47204504637606604,289.8550725,49.03854627,34.05797101,-12.29396355,21.76400747
trades4,9/3/2025 6:07,10/3/2025 18:54,1,-1,0.1796,0.5582,0.2048,0.7112,556.7928730512249,142.37550910929258,-14.0311804,21.78345289,7.752272493,41.61360793,,41.613607933454844,,0.7947400918480712,556.7928731,142.3755091,0.7397906395578132,488.28125,104.0200562,-12.3046875,15.9150686,3.610381096
trades5,11/3/2025 21:33,,1,-1,,,0.1729,0.5809,,,,,,,,,,,,,,,,,,34.36735183
