,timestamps,symbol1,symbol2,pnl,ai_position,vr_position,ratio,beta
0,2025-02-17 00:01:00,0.3948,1.2517,0.0,0,0,-0.003951853389773774,0.5485147212215904
1,2025-02-17 00:02:00,0.3985,1.2573,0.0,0,0,-0.00459570612403859,0.5485202818807665
2,2025-02-17 00:03:00,0.3982,1.2582,0.0,0,0,-0.0034603709299469987,0.5485245126748137
3,2025-02-17 00:04:00,0.3978,1.2556,0.0,0,0,-0.004968073148235108,0.5485306715610626
4,2025-02-17 00:05:00,0.3978,1.2542,0.0,0,0,-0.006071968307732378,0.5485381956170711
5,2025-02-17 00:06:00,0.398,1.2556,0.0,0,0,-0.00522197526060264,0.5485446176818546
6,2025-02-17 00:07:00,0.3989,1.2579,0.0,0,0,-0.004621985572107912,0.5485501169620581
7,2025-02-17 00:08:00,0.3993,1.2591,0.0,0,0,-0.004210160553882458,0.5485550506074672
8,2025-02-17 00:09:00,0.3985,1.259,0.0,0,0,-0.0031833130740386295,0.5485588912259588
9,2025-02-17 00:10:00,0.3975,1.2556,0.0,0,0,-0.004500529203884995,0.5485645165402582
10,2025-02-17 00:11:00,0.3977,1.2561,0.0,0,0,-0.004369885078118196,0.5485699376557682
11,2025-02-17 00:12:00,0.3965,1.2545,0.0,0,0,-0.003979031090479368,0.5485750819029519
12,2025-02-17 00:13:00,0.3961,1.2517,0.0,0,0,-0.00564881910502979,0.5485824808962704
13,2025-02-17 00:14:00,0.3952,1.2503,0.0,0,0,-0.00550930549964701,0.5485899124432765
14,2025-02-17 00:15:00,0.3961,1.251,0.0,0,0,-0.006185478713993553,0.5485980053696304
15,2025-02-17 00:16:00,0.3955,1.2515,0.0,0,0,-0.004944623548629679,0.5486046024445664
16,2025-02-17 00:17:00,0.3952,1.2518,0.0,0,0,-0.004280306320953775,0.5486103668203988
17,2025-02-17 00:18:00,0.3939,1.2485,0.0,0,0,-0.005102388491214027,0.5486175283307418
18,2025-02-17 00:19:00,0.3949,1.2491,0.0,0,0,-0.006001240436327215,0.5486256801454217
